Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: AF594 mean	Cell: AF594 std dev	Cell: AF594 max	Cell: AF594 min	Cytoplasm: AF594 mean	Cytoplasm: AF594 std dev	Cytoplasm: AF594 max	Cytoplasm: AF594 min
4.czi	9ea12f0a-2b62-40d3-9435-02447ee7b240	Cell			CTX	Polygon	2568.5	6041.2	2325.8129	187.5382	0.831	64.901	50.2688	0.6107	562.3394	215.5408	1584	210	458.6281	148.9681	895	210
4.czi	b63546ad-aaf3-4324-9c45-099bdc0180ed	Cell			CTX	Polygon	2050.3	6033.1	1318.3179	133.2398	0.9332	45.959	37.5283	0.5814	384.2455	72.3029	759	272	356.3522	32.9298	480	272
4.czi	8b0f9975-731e-41ba-8efb-927b051d2999	Cell			CTX	Polygon	2314.3	6046.4	1704.9916	153.2798	0.9119	56.3677	38.5767	0.7408	286.8538	49.5651	496	196	261.3126	21.9022	342	196
4.czi	668c94bf-0861-4320-9dd5-d167db6a284a	Cell			CTX	Polygon	2366.6	6041.4	1833.6079	162.1107	0.8768	57.5235	38.834	0.7397	428.6999	147.6432	1117	221	354.3664	67.8031	578	221
4.czi	7e29a6f5-76cd-4a81-91ee-a3faf0cfcf96	Cell			CTX	Polygon	3019.7	6054.3	1719.0074	153.2228	0.9201	51.9591	42.1492	0.6046	503.6352	178.6831	1371	229	421.0314	112.275	899	229
4.czi	43fdc065-3bf4-4d34-9263-5aee49c2e9d8	Cell			CTX	Polygon	1723.5	6050.1	1290.2862	128.787	0.9776	42.0356	39.7949	0.2931	629.0172	464.9741	2940	225	412.4996	164.0175	1144	225
4.czi	9cd7a76e-a352-4420-b07c-ce81a62f6efd	Cell			CTX	Polygon	2909.4	6053.6	1521.9605	147.4437	0.8798	55.7129	34.7007	0.7933	479.9849	140.0609	1181	238	418.162	81.9416	654	238
4.czi	ef8cb740-dc70-4113-8138-7374cef86125	Cell			CTX	Polygon	2027.8	6067.9	1561.5348	147.0995	0.9069	51.2987	40.2319	0.6244	512.5966	157.0909	1480	294	450.2441	68.3301	659	294
4.czi	20dd7274-6c71-483c-8ef2-b76bc43d466c	Cell			CTX	Polygon	2669.1	6068.4	1777.5444	154.4476	0.9364	51.5876	45.5104	0.4629	469.4972	153.498	886	216	384.4079	88.2509	619	216
4.czi	a171ffc5-68ee-4b43-9732-3e405b1f9937	Cell			CTX	Polygon	2591.1	6070.8	1092.4148	123.3222	0.9026	43.8987	32.2157	0.6881	717.118	229.409	1870	296	618.9619	126.4089	881	296
